Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
24.0,60.0,15.0,20.0,0.19453249839489292,-0.0043005618385762055,-0.0008981810570191789,0.009528961061163096,0.00035330371014316575,50.73249781862021,0.0010357142898430116
95.0,50.0,15.0,30.0,0.19545670214037467,0.0,-0.0028970305336498414,0.0034294892286608944,0.0015570029472118663,91.13834748289555,0.0006509881963067835
95.0,50.0,5.0,20.0,0.19548730553253651,0.0,-0.01233726430976867,-0.0855980108195431,0.025989707227574918,97.14995857494218,0.0006939282755354896
95.0,40.0,7.5,20.0,0.19875236797500212,0.0,-0.007579603102745858,-0.013931353914538036,0.0101923968058696,99.38366180331641,0.0007098832985951173
24.0,60.0,15.0,30.0,0.19971222883888243,-0.004433131093240182,-0.0010615746872317858,0.008660813539293674,0.0006696089637928115,52.11222831828926,0.0010714285751891256
24.0,50.0,15.0,10.0,0.2003449184826712,-0.0036311077588827246,-0.0011256214976378964,0.009438401088753823,0.0003424482002807594,52.144913957494204,0.0010357143171780903
95.0,40.0,15.0,10.0,0.20090554214540193,0.0,-0.002638709151814092,0.006549441807137679,0.0003655998510918024,101.89630201773436,0.0007278307286995993
24.0,50.0,15.0,20.0,0.20529714403115565,-0.003851778461062538,-0.0013431621368933389,0.008692279635267863,0.00048340528163645646,61.297140415020316,0.0010714285982328653
95.0,40.0,15.0,20.0,0.2116080875875601,0.0,-0.003408730424496742,0.005173095000583772,0.0012850891489196714,110.67368597688642,0.0007905263284053601
95.0,70.0,5.0,30.0,0.21236121770794206,0.0,-0.016981817749498036,-0.1959530821154995,0.035970925957118885,104.50847328148521,0.000746489094867573
24.0,50.0,15.0,30.0,0.21371477553947837,-0.003820138395442483,-0.0018134113481150793,0.007843200354394342,0.001078416957814854,61.614770033878436,0.0010714286096998632
24.0,40.0,15.0,10.0,0.2148530266917017,-0.0032078395528396695,-0.0018383539552088365,0.009298799065465362,0.0005518730870440747,67.15297069679882,0.0010357146733125872
24.0,40.0,15.0,20.0,0.22341465309810185,-0.0031080351669675902,-0.0024023087219763803,0.008287847474319395,0.0012841525152722938,78.9145747629269,0.001071429150712584
95.0,40.0,15.0,30.0,0.23365894526033967,0.0,-0.005306717365111957,0.001503939330611918,0.003162113391762811,117.41655540723622,0.0008386896814799811
95.0,50.0,7.5,30.0,0.23942067568810627,0.0,-0.01517007903163517,-0.06947758141185238,0.021328438582818625,118.73883825825881,0.0008481345589878306
24.0,40.0,15.0,30.0,0.24098584071050208,-0.0027264834034405423,-0.004069499870509238,0.005119159856988113,0.0024404550595498453,92.58531969932731,0.0010714323241127477
95.0,40.0,10.0,30.0,0.26874051466753773,0.0,-0.015210837916816017,-0.034174951850704516,0.015838131927610098,133.36998246531726,0.0009526427318948061
